epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.3772,0.97621,0.79882,1.07539,0.94253,0.81723,0.89241,0.62767,1.11715,0.91321,1.12667,0.00144145,0.00144145,0.00144145
43,80.0165,0.94998,0.75553,1.05568,0.83798,0.87827,0.88317,0.60162,1.20109,0.91964,1.14376,0.00143595,0.00143595,0.00143595
44,81.6179,0.97379,0.7349,1.05397,0.86841,0.86304,0.87285,0.61449,1.12743,0.92166,1.13011,0.00143045,0.00143045,0.00143045
45,83.2233,0.90316,0.72179,1.04768,0.85411,0.81729,0.84843,0.57631,1.19779,0.97176,1.15417,0.00142495,0.00142495,0.00142495
46,84.8487,0.94935,0.74215,1.08213,0.85712,0.8204,0.8675,0.56677,1.21871,0.97368,1.14828,0.00141945,0.00141945,0.00141945
47,86.4917,0.95167,0.72268,1.05759,0.74181,0.85476,0.85561,0.55846,1.22283,0.998,1.17471,0.00141395,0.00141395,0.00141395
48,88.2469,0.90812,0.74556,1.06021,0.72803,0.86995,0.86335,0.57876,1.2047,0.91091,1.14807,0.00140845,0.00140845,0.00140845
49,89.9087,0.89486,0.69861,1.02129,0.74298,0.89213,0.86087,0.54487,1.2655,0.89804,1.1885,0.00140295,0.00140295,0.00140295
50,91.538,0.92834,0.70522,1.03647,0.84146,0.82702,0.8867,0.57588,1.17263,0.9668,1.17578,0.00139745,0.00139745,0.00139745
51,93.1159,0.89395,0.70457,1.06093,0.79428,0.84097,0.91259,0.57262,1.18776,1.00139,1.21108,0.00139195,0.00139195,0.00139195
52,94.7229,0.91158,0.68608,1.03565,0.924,0.82963,0.92661,0.60087,1.17936,0.80576,1.18879,0.00138644,0.00138644,0.00138644
53,96.2881,0.85918,0.7104,1.01395,0.89447,0.8548,0.89108,0.59642,1.12651,0.87923,1.17251,0.00138094,0.00138094,0.00138094
54,97.9034,0.89183,0.68584,1.04418,0.84143,0.86869,0.87757,0.58446,1.1517,0.95007,1.14832,0.00137544,0.00137544,0.00137544
55,99.4917,0.94326,0.69981,1.03054,0.87279,0.86759,0.90204,0.60801,1.14753,0.85561,1.12703,0.00136994,0.00136994,0.00136994
56,101.072,0.9219,0.64603,1.04468,0.86075,0.88384,0.91429,0.59645,1.14882,0.8913,1.10905,0.00136444,0.00136444,0.00136444
57,102.734,0.90279,0.7029,1.06761,0.80808,0.89265,0.8991,0.58762,1.19298,0.82528,1.13762,0.00135894,0.00135894,0.00135894
58,104.397,0.87703,0.67429,1.0261,0.85381,0.88183,0.89295,0.5956,1.16724,0.83508,1.16856,0.00135344,0.00135344,0.00135344
59,106.076,0.88217,0.6628,1.03139,0.9126,0.88258,0.90864,0.61458,1.17858,0.80282,1.17476,0.00134794,0.00134794,0.00134794
